PlayerId,PlayerLink,ShirtNumber,Position,OfficialName,LastName,GamesPlayedTotal,MinutesTotal,SecondsTotal,PointsTotal,FieldGoals2PointsMadeTotal,FieldGoals2PointsAttemptedTotal,FieldGoals3PointsMadeTotal,FieldGoals3PointsAttemptedTotal,FreeThrowsMadeTotal,FreeThrowsAttemptedTotal,OffensiveReboundsTotal,DefensiveReboundsTotal,BlocksTotal,AssistsTotal,TurnOversTotal,StealsTotal,PersonalFoulsTotal,Efficiency,PlusMinus,DoubleDoubles,TripleDoubles
203569,/womensbasketballworldcup/2022/player/Leeseul-Kang,N/A,Forward,Leeseul Kang (KOR),Kang,5,145,8739,86,11,24,19,48,7,7,3,11,0,8,6,6,10,66,-77,0,0
216921,/womensbasketballworldcup/2022/player/An-Jin,N/A,Center,An Jin (KOR),Jin,5,80,4820,20,9,23,0,0,2,4,7,10,0,1,4,2,10,20,-86,0,0
197064,/womensbasketballworldcup/2022/player/Inyoung-Yang,N/A,Center,Inyoung Yang (KOR),Yang,5,70,4229,21,10,21,0,0,1,2,6,2,5,5,3,1,11,25,-42,0,0
212158,/womensbasketballworldcup/2022/player/Sodam-Kim,N/A,Center,Sodam Kim (KOR),Kim,5,54,3295,10,5,11,0,0,0,0,1,2,2,4,1,1,10,13,-80,0,0
190766,/womensbasketballworldcup/2022/player/Julie-Allemand,N/A,Point Guard,Julie Allemand (BEL),Allemand,6,167,10022,61,16,26,7,23,8,10,2,14,0,38,10,11,4,88,-19,0,0
170499,/womensbasketballworldcup/2022/player/Hind-Ben-Abdelkader,N/A,Point Guard,Hind Ben Abdelkader (BEL),Ben Abdelkader,6,121,7277,56,9,27,12,28,2,2,1,9,0,10,5,6,12,43,4,0,0
173348,/womensbasketballworldcup/2022/player/Antonia-Delaere,N/A,Small Forward,Antonia Delaere (BEL),Delaere,6,126,7618,45,17,38,2,7,5,6,1,11,0,14,12,4,7,36,7,0,0
238986,/womensbasketballworldcup/2022/player/Ine-Joris,N/A,Center,Ine Joris (BEL),Joris,5,22,1326,3,0,3,1,1,0,0,1,1,1,1,1,1,1,4,-5,0,0
190762,/womensbasketballworldcup/2022/player/Kyara-Linskens,N/A,Center,Kyara Linskens (BEL),Linskens,6,132,7944,77,31,59,2,5,9,11,5,41,3,7,8,4,14,96,-31,1,0
226131,/womensbasketballworldcup/2022/player/Maxuella-Lisowa-Mbaka,N/A,Small Forward,Maxuella Lisowa Mbaka (BEL),Lisowa Mbaka,6,110,6606,33,13,22,1,3,4,6,11,14,0,7,7,8,10,53,11,0,0
210751,/womensbasketballworldcup/2022/player/Becky-Massey,N/A,Center,Becky Massey (BEL),Massey,6,101,6096,22,6,15,2,3,4,4,3,9,4,7,8,6,10,33,20,0,0
218960,/womensbasketballworldcup/2022/player/Billie-Massey,N/A,Center,Billie Massey (BEL),Massey,6,104,6281,24,7,18,2,6,4,8,9,17,5,7,4,4,12,43,-8,0,0
167505,/womensbasketballworldcup/2022/player/Emma-Meesseman,N/A,Power Forward,Emma Meesseman (BEL),Meesseman,4,109,6543,23,10,30,0,4,3,3,13,21,7,25,4,7,2,68,32,1,0
203030,/womensbasketballworldcup/2022/player/Elise-Ramette,N/A,Point Guard,Elise Ramette (BEL),Ramette,5,34,2076,8,2,3,0,4,4,6,0,5,0,3,2,0,1,7,3,0,0
210754,/womensbasketballworldcup/2022/player/Laure-Resimont,N/A,Small Forward,Laure Resimont (BEL),Resimont,5,26,1570,8,2,2,1,5,1,4,0,1,0,0,4,1,3,-1,-17,0,0
159422,/womensbasketballworldcup/2022/player/Julie-Vanloo,N/A,Point Guard,Julie Vanloo (BEL),Vanloo,6,144,8641,73,9,20,17,39,4,5,1,7,0,13,18,9,10,51,-7,0,0
176909,/womensbasketballworldcup/2022/player/Maki-Takada,N/A,Power Forward,Maki Takada (JPN),Takada,5,131,7887,47,12,23,3,11,14,16,4,17,2,1,4,5,4,51,-15,0,0
166703,/womensbasketballworldcup/2022/player/Ramu-Tokashiki,N/A,Center,Ramu Tokashiki (JPN),Tokashiki,5,91,5492,22,8,20,1,1,3,4,6,20,3,4,6,1,15,37,-4,0,0
181762,/womensbasketballworldcup/2022/player/Yuki-Miyazawa,N/A,Power Forward,Yuki Miyazawa (JPN),Miyazawa,5,55,3340,2,1,5,0,11,0,0,1,9,1,5,2,2,1,3,-2,0,0
